eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
,,1069552,179.11,27,33567,449,206.18874502000003,,,,,,,,,,,
169.2,199.2792109888258,1070000,,,,,,5.761005878448486,5220,13.805035591125488,0.2,0.09018735,0.0003,0.9290073066949844,-6.127794405817985,0.4494140625,44.121686258912085,0.021472279136651194
169.2,198.9076609547723,1071000,,,,,,,,,,,,,,,,
,,1071600,182.23,27,33635,450,210.5719482,,,,,,,,,,,
171.8,211.66905727161938,1072000,,,,,,5.8591203689575195,5230,6.44165563583374,0.2,0.18169522,0.0003,0.9368622601032257,-6.145192161202431,0.580908203125,28.395593886077403,0.047938411770155655
176.0,212.67274485054295,1073000,,,,,,,,,,,,,,,,
,,1073648,183.44,27,33702,451,212.05162084,,,,,,,,,,,
177.4,220.00561134605087,1074000,,,,,,5.916864395141602,5240,4.149528503417969,0.2,0.07217545,0.0003,0.9569308720529079,-6.171190106868744,0.398974609375,29.075239185988902,0.00853203660226427
176.2,217.93914804844607,1075000,,,,,,,,,,,,,,,,
,,1075696,183.67,27,33769,452,214.10097111000002,,,,,,,,,,,
176.6,219.937144844453,1076000,,,,,,5.931264400482178,5250,6.52808952331543,0.2,0.08030539,0.0003,0.957016047090292,-6.171582365036011,0.39609375,30.359116783738138,0.009914059063885362
171.6,208.52101341886592,1077000,,,,,,,,,,,,,,,,
,,1077744,185.39,27,33837,453,218.63384017000004,,,,,,,,,,,
175.0,214.79981332062962,1078000,,,,,,6.010832786560059,5260,2.8900558948516846,0.2,0.119658336,0.0003,0.9532789401710033,-6.178862331807613,0.4912109375,21.40177142545581,0.03751523540413473
155.8,193.30040717764933,1079000,,,,,,,,,,,,,,,,
,,1079792,183.94,27,33904,454,217.59116478000004,,,,,,,,,,,
169.4,197.75127925026973,1080000,,,,,,5.969855308532715,5270,5.38460636138916,0.2,0.11023314,0.0003,0.9405516758561134,-6.185183669626713,0.483447265625,31.641528956592083,0.025113878586853388
166.8,192.40740081406548,1081000,,,,,,,,,,,,,,,,
,,1081840,181.07,27,33974,455,213.19568832000002,,,,,,,,,,,
